CID,CityName/AreaName,Pincode,District,State,Locality,Location,Latitude,Longitude,distance(in kms)
101545,Nungambakkam High Road,600034,Chennai,TAMIL NADU,"Nungambakkam High Road,600034,Chennai,TAMIL NADU","Nungambakkam High Road, Nungambakkam, Chennai, Tamil Nadu, 600034",13.05699168215822,80.24861662472486,14.824270836872156
101546,Nungambakkam,600034,Chennai,TAMIL NADU,"Nungambakkam,600034,Chennai,TAMIL NADU","600034, Nungambakam, Nungambakkam, Chennai, Tamil Nadu",13.059180484271216,80.24935357505848,15.06549235481592
101547,Nandanam,600035,Chennai,TAMIL NADU,"Nandanam,600035,Chennai,TAMIL NADU","600035, Nandanam, Chennai, Tamil Nadu",13.028747856626739,80.23770318807149,11.780948022835702
101548,Indian Institute Of Technology,600036,Chennai,TAMIL NADU,"Indian Institute Of Technology,600036,Chennai,TAMIL NADU","600036, Indian Institute of Technology, Chennai, Tamil Nadu",12.992542424423046,80.23504288571115,7.874687110703791
101551,Icf Colony,600038,Chennai,TAMIL NADU,"Icf Colony,600038,Chennai,TAMIL NADU",Icf South Colony,13.094620000000077,80.21837000000005,19.304012479451647
101552,Vyasar Nagar Colony,600039,Chennai,TAMIL NADU,"Vyasar Nagar Colony,600039,Chennai,TAMIL NADU","Vyasar Nagar, Vyasarpadi, Chennai, Tamil Nadu",13.111960000000067,80.25559000000004,20.911124659515536
101553,Vyasarpadi,600039,Chennai,TAMIL NADU,"Vyasarpadi,600039,Chennai,TAMIL NADU","600039, Basin Bridge, Vyasarpadi, Chennai, Tamil Nadu",13.10858417281676,80.26844483345474,20.622034109857346
101554,Anna Nagar (Chennai),600040,Chennai,TAMIL NADU,"Anna Nagar (Chennai),600040,Chennai,TAMIL NADU","600040, Anna Nagar, Chennai, Tamil Nadu",13.08527469243356,80.20904157651677,18.50802951800074
101555,Neelankarai,600041,Kanchipuram,TAMIL NADU,"Neelankarai,600041,Kanchipuram,TAMIL NADU",Neelankarai,12.950640000000021,80.25505000000004,3.09570501475185
101556,Palavakkam (Kanchipuram),600041,Kanchipuram,TAMIL NADU,"Palavakkam (Kanchipuram),600041,Kanchipuram,TAMIL NADU","Kānchipuram, Tamil Nādu",12.835150000000056,79.70006000000006,60.53447344940606
