CID,CityName/AreaName,Pincode,District,State,Latitude,Longitude,distance(in kms)
102067,Elutchur,603204,Kanchipuram,TAMIL NADU,12.768665313720705,80.0097885131836,33.39844400672994
102068,Karunilam,603204,Kanchipuram,TAMIL NADU,12.768665313720705,80.0097885131836,33.39844400672994
102069,Melrosapuram,603204,Kanchipuram,TAMIL NADU,12.768665313720705,80.0097885131836,33.39844400672994
102070,Singaperumalkoil,603204,Kanchipuram,TAMIL NADU,12.768665313720705,80.0097885131836,33.39844400672994
102071,Tirukatchur,603204,Kanchipuram,TAMIL NADU,12.768665313720705,80.0097885131836,33.39844400672994
102072,Vadakkupattu,603204,Kanchipuram,TAMIL NADU,12.768665313720705,80.0097885131836,33.39844400672994
102073,Venkatapuram,603204,Kanchipuram,TAMIL NADU,12.768665313720705,80.0097885131836,33.39844400672994
102074,Maraimalai Nagar,603209,Kanchipuram,TAMIL NADU,12.783823013305664,80.01902770996094,31.594892959395448
102075,Panangottur,603209,Kanchipuram,TAMIL NADU,12.783823013305664,80.01902770996094,31.594892959395448
102076,Urapakkam,603210,Kanchipuram,TAMIL NADU,12.87332820892334,80.08291625976562,20.565621926252597
102077,Annai Anjugam Nagar,603211,Kanchipuram,TAMIL NADU,12.867284774780273,80.0699234008789,22.12621918875249
102078,Acharapakkam R.S.,603301,Kanchipuram,TAMIL NADU,12.386863708496096,79.82951354980469,77.65307381633122
102079,Acharapakkam,603301,Kanchipuram,TAMIL NADU,12.386863708496096,79.82951354980469,77.65307381633122
102080,Indalur,603301,Kanchipuram,TAMIL NADU,12.386863708496096,79.82951354980469,77.65307381633122
102081,Irumbuli,603301,Kanchipuram,TAMIL NADU,12.386863708496096,79.82951354980469,77.65307381633122
102082,Kattugudalur,603301,Kanchipuram,TAMIL NADU,12.386863708496096,79.82951354980469,77.65307381633122
102083,Kayapakkam,603301,Kanchipuram,TAMIL NADU,12.386863708496096,79.82951354980469,77.65307381633122
102084,Parukkal,603301,Kanchipuram,TAMIL NADU,12.386863708496096,79.82951354980469,77.65307381633122
102085,Seethapuram,603301,Kanchipuram,TAMIL NADU,12.386863708496096,79.82951354980469,77.65307381633122
102086,Chengattur,603302,Kanchipuram,TAMIL NADU,12.353082656860352,79.99376678466797,71.96289983930359
102087,Cheyur (Kanchipuram),603302,Kanchipuram,TAMIL NADU,12.353082656860352,79.99376678466797,71.96289983930359
102088,Cheyyur North,603302,Kanchipuram,TAMIL NADU,12.353082656860352,79.99376678466797,71.96289983930359
102089,Irumbedu,603302,Kanchipuram,TAMIL NADU,12.353082656860352,79.99376678466797,71.96289983930359
102090,Nainarkuppam,603302,Kanchipuram,TAMIL NADU,12.353082656860352,79.99376678466797,71.96289983930359
102091,Palaiyur,603302,Kanchipuram,TAMIL NADU,12.353082656860352,79.99376678466797,71.96289983930359
102092,Panaiyur,603302,Kanchipuram,TAMIL NADU,12.353082656860352,79.99376678466797,71.96289983930359
102093,Perumbakkam,603302,Kanchipuram,TAMIL NADU,12.353082656860352,79.99376678466797,71.96289983930359
102094,Zamin Budur,603302,Kanchipuram,TAMIL NADU,12.353082656860352,79.99376678466797,71.96289983930359
